freq_Hz,h_c,h_c_sigma,source
1.976826457568005e-09,5.3736672077463135e-12,2.5971961320646913e-11,Converted from KDE set '30f_fs{cp}_ceffyl' in NANOGrav15yr_KDE-FreeSpectra_v1.0.0.zip (NANOGrav15)
3.953652915136009e-09,1.6767576416776438e-14,3.4734208973905776e-12,Converted from KDE set '30f_fs{cp}_ceffyl' in NANOGrav15yr_KDE-FreeSpectra_v1.0.0.zip (NANOGrav15)
5.930479372704014e-09,3.3140284541644345e-13,5.100645138039953e-12,Converted from KDE set '30f_fs{cp}_ceffyl' in NANOGrav15yr_KDE-FreeSpectra_v1.0.0.zip (NANOGrav15)
7.907305830272019e-09,7.605119896358541e-13,5.446281966542423e-12,Converted from KDE set '30f_fs{cp}_ceffyl' in NANOGrav15yr_KDE-FreeSpectra_v1.0.0.zip (NANOGrav15)
9.884132287840023e-09,6.99120581849284e-13,4.549105157006629e-12,Converted from KDE set '30f_fs{cp}_ceffyl' in NANOGrav15yr_KDE-FreeSpectra_v1.0.0.zip (NANOGrav15)
1.1860958745408028e-08,6.019664152328755e-13,3.833542968305432e-12,Converted from KDE set '30f_fs{cp}_ceffyl' in NANOGrav15yr_KDE-FreeSpectra_v1.0.0.zip (NANOGrav15)
1.3837785202976033e-08,5.100995908669648e-13,3.2701087695298047e-12,Converted from KDE set '30f_fs{cp}_ceffyl' in NANOGrav15yr_KDE-FreeSpectra_v1.0.0.zip (NANOGrav15)
1.5814611660544037e-08,3.4416106589593323e-13,2.6371569845148634e-12,Converted from KDE set '30f_fs{cp}_ceffyl' in NANOGrav15yr_KDE-FreeSpectra_v1.0.0.zip (NANOGrav15)
1.7791438118112042e-08,3.4301584830406246e-13,2.432238005098933e-12,Converted from KDE set '30f_fs{cp}_ceffyl' in NANOGrav15yr_KDE-FreeSpectra_v1.0.0.zip (NANOGrav15)
1.9768264575680047e-08,3.328280817151714e-13,2.2421591898130657e-12,Converted from KDE set '30f_fs{cp}_ceffyl' in NANOGrav15yr_KDE-FreeSpectra_v1.0.0.zip (NANOGrav15)
2.174509103324805e-08,3.100832747017968e-13,2.054683279247327e-12,Converted from KDE set '30f_fs{cp}_ceffyl' in NANOGrav15yr_KDE-FreeSpectra_v1.0.0.zip (NANOGrav15)
2.3721917490816056e-08,2.6451277800928013e-13,1.838788101975131e-12,Converted from KDE set '30f_fs{cp}_ceffyl' in NANOGrav15yr_KDE-FreeSpectra_v1.0.0.zip (NANOGrav15)
2.569874394838406e-08,2.2426466821143852e-13,1.654461275977386e-12,Converted from KDE set '30f_fs{cp}_ceffyl' in NANOGrav15yr_KDE-FreeSpectra_v1.0.0.zip (NANOGrav15)
2.7675570405952065e-08,2.205101881954687e-13,1.5635815747064569e-12,Converted from KDE set '30f_fs{cp}_ceffyl' in NANOGrav15yr_KDE-FreeSpectra_v1.0.0.zip (NANOGrav15)
2.965239686352007e-08,2.2407279369781115e-13,1.4995603480220756e-12,Converted from KDE set '30f_fs{cp}_ceffyl' in NANOGrav15yr_KDE-FreeSpectra_v1.0.0.zip (NANOGrav15)
3.1629223321088075e-08,5.798484501631896e-13,1.911111754326114e-12,Converted from KDE set '30f_fs{cp}_ceffyl' in NANOGrav15yr_KDE-FreeSpectra_v1.0.0.zip (NANOGrav15)
3.360604977865608e-08,2.2644741123687128e-13,1.3790431031836767e-12,Converted from KDE set '30f_fs{cp}_ceffyl' in NANOGrav15yr_KDE-FreeSpectra_v1.0.0.zip (NANOGrav15)
3.5582876236224084e-08,1.7924873839933374e-13,1.2337656899794586e-12,Converted from KDE set '30f_fs{cp}_ceffyl' in NANOGrav15yr_KDE-FreeSpectra_v1.0.0.zip (NANOGrav15)
3.755970269379209e-08,1.6408297462799922e-13,1.1558110146649985e-12,Converted from KDE set '30f_fs{cp}_ceffyl' in NANOGrav15yr_KDE-FreeSpectra_v1.0.0.zip (NANOGrav15)
3.95365291513601e-08,1.4793292817475974e-13,1.0788161559846978e-12,Converted from KDE set '30f_fs{cp}_ceffyl' in NANOGrav15yr_KDE-FreeSpectra_v1.0.0.zip (NANOGrav15)
4.15133556089281e-08,1.4321096288056165e-13,1.0340816753893904e-12,Converted from KDE set '30f_fs{cp}_ceffyl' in NANOGrav15yr_KDE-FreeSpectra_v1.0.0.zip (NANOGrav15)
4.34901820664961e-08,1.4009542199706969e-13,9.950144993174005e-13,Converted from KDE set '30f_fs{cp}_ceffyl' in NANOGrav15yr_KDE-FreeSpectra_v1.0.0.zip (NANOGrav15)
4.546700852406411e-08,1.3033095616232745e-13,9.426264366731994e-13,Converted from KDE set '30f_fs{cp}_ceffyl' in NANOGrav15yr_KDE-FreeSpectra_v1.0.0.zip (NANOGrav15)
4.744383498163212e-08,1.263381964473739e-13,9.062451153032874e-13,Converted from KDE set '30f_fs{cp}_ceffyl' in NANOGrav15yr_KDE-FreeSpectra_v1.0.0.zip (NANOGrav15)
4.942066143920012e-08,1.1680845312179518e-13,8.603069784957322e-13,Converted from KDE set '30f_fs{cp}_ceffyl' in NANOGrav15yr_KDE-FreeSpectra_v1.0.0.zip (NANOGrav15)
5.139748789676812e-08,1.1738506656347427e-13,8.39240582927308e-13,Converted from KDE set '30f_fs{cp}_ceffyl' in NANOGrav15yr_KDE-FreeSpectra_v1.0.0.zip (NANOGrav15)
5.337431435433613e-08,1.0297893284045365e-13,7.838954500208812e-13,Converted from KDE set '30f_fs{cp}_ceffyl' in NANOGrav15yr_KDE-FreeSpectra_v1.0.0.zip (NANOGrav15)
5.535114081190414e-08,1.0226697216531551e-13,7.632144450819785e-13,Converted from KDE set '30f_fs{cp}_ceffyl' in NANOGrav15yr_KDE-FreeSpectra_v1.0.0.zip (NANOGrav15)
5.732796726947214e-08,8.966051765509715e-14,7.147529024596796e-13,Converted from KDE set '30f_fs{cp}_ceffyl' in NANOGrav15yr_KDE-FreeSpectra_v1.0.0.zip (NANOGrav15)
5.9304793727040147e-08,9.813939619720919e-14,7.192381240012382e-13,Converted from KDE set '30f_fs{cp}_ceffyl' in NANOGrav15yr_KDE-FreeSpectra_v1.0.0.zip (NANOGrav15)
